"Id","Obs","Rep","Sub","Vic"
39,"SL",2,0.98,3.9
39,"SL",3,0.81,3.8
42,"SL",1,1.2,5
42,"SL",2,1.2,5
42,"SL",3,1.2,4.9
45,"SL",1,1.8,3.9
45,"SL",2,1.6,3.9
45,"SL",3,1.8,3.9
2,"SL",1,0.75,3
2,"SL",2,0.8,3.2
2,"SL",3,0.81,3.7
4,"SL",1,0.69,2.9
4,"SL",2,0.69,2.8
4,"SL",3,0.67,2.8
6,"SL",1,0.88,3.2
6,"SL",2,0.87,3
6,"SL",3,0.86,3.1
7,"SL",1,1.4,2.8
7,"SL",2,1.4,2.8
7,"SL",3,1.5,2.8
8,"SL",1,1.3,3.9
8,"SL",2,1.4,4.2
8,"SL",3,1.4,4
9,"SL",1,2.1,4.7
9,"SL",2,2.4,4.3
9,"SL",3,2.2,4.3
10,"SL",1,1.2,4.2
10,"SL",2,1.1,4.3
10,"SL",3,1.1,3.7
13,"SL",1,0.97,2.7
13,"SL",2,1,3
13,"SL",3,1,2.9
15,"SL",1,0.62,4.8
15,"SL",2,0.6,4.9
15,"SL",3,0.7,4.7
16,"SL",1,1.3,3.8
16,"SL",2,1.2,3.9
16,"SL",3,1.1,3.8
17,"SL",1,1.7,2.8
17,"SL",2,1.6,2.8
17,"SL",3,1.6,3.2
20,"SL",1,1.8,3.6
20,"SL",2,1.7,3.8
20,"SL",3,1.8,3.9
21,"SL",1,1.2,3.1
21,"SL",2,1.2,3.2
21,"SL",3,1.1,3.2
24,"SL",1,1.9,5.6
24,"SL",2,2,5.9
24,"SL",3,2.1,5.5
25,"SL",1,1.7,4.1
25,"SL",2,1.7,4.1
25,"SL",3,1.7,4.1
27,"SL",1,1.2,4.1
27,"SL",2,1.2,4.3
27,"SL",3,1.2,4.3
29,"SL",1,2.5,2.5
29,"SL",2,2.5,2.8
29,"SL",3,2.6,2.6
30,"SL",1,1.9,3.7
30,"SL",2,2,3.9
30,"SL",3,2,4.2
32,"SL",1,0.51,3.1
32,"SL",2,0.51,2.8
32,"SL",3,0.53,2.8
34,"SL",1,3.7,5.8
34,"SL",2,3.9,5.8
34,"SL",3,3.7,5.5
38,"SL",1,1.2,4.6
38,"SL",2,1.2,4.6
38,"SL",3,1.2,4.4
40,"SL",1,2.6,4.8
40,"SL",2,2.6,4.8
40,"SL",3,2.6,4.8
41,"SL",1,3.9,4.6
41,"SL",2,4.1,4.1
41,"SL",3,4,5
43,"SL",1,1.7,4.9
43,"SL",2,1.5,4.7
43,"SL",3,1.4,4.8
44,"SL",1,1.9,4.7
44,"SL",2,1.9,4.7
44,"SL",3,1.9,4.6
46,"SL",1,1.7,3.1
46,"SL",2,1.6,3.4
46,"SL",3,1.6,3.2
